sale_id,distributor_id,customer_id,product_id,rep_id,date_id,quantity,price,sales
1,1,1,1,1,1,4,368.0,1472.0
2,1,2,2,2,1,7,591.0,4137.0
3,1,3,3,3,1,30,66.0,1980.0
4,1,4,4,1,1,6,435.0,2610.0
5,1,5,5,4,1,20,458.0,9160.0
6,1,6,6,5,1,5,123.0,615.0
7,1,7,7,6,1,20,536.0,10720.0
8,1,8,8,1,1,5,742.0,3710.0
9,1,9,9,7,1,4,551.0,2204.0
10,1,10,10,8,1,10,243.0,2430.0
11,1,11,11,9,1,35,762.0,26670.0
12,1,12,12,10,1,4,249.0,996.0
13,1,13,13,10,1,5,785.0,3925.0
14,1,14,14,2,1,6,286.0,1716.0
15,1,15,15,4,1,7,487.0,3409.0
16,1,16,16,8,1,5,605.0,3025.0
17,1,17,17,11,1,5,548.0,2740.0
18,1,18,18,8,1,30,288.0,8640.0
19,1,19,19,4,1,2,414.0,828.0
20,1,20,20,12,1,2,307.0,614.0
21,1,21,21,13,1,5,421.0,2105.0
22,1,22,22,10,1,20,765.0,15300.0
23,1,23,23,2,1,5,215.0,1075.0
24,1,24,24,8,1,26,689.0,17914.0
25,1,25,6,7,1,16,123.0,1968.0
26,1,26,25,7,1,35,24.0,840.0
27,1,27,26,11,1,2,502.0,1004.0
28,1,28,27,2,1,3,511.0,1533.0
29,1,29,28,10,1,50,653.0,32650.0
30,1,11,29,6,1,6,191.0,1146.0
31,1,30,30,11,1,4,692.0,2768.0
32,1,31,31,1,1,6,164.0,984.0
33,1,32,9,1,1,60,551.0,33060.0
34,1,2,29,6,1,38,191.0,7258.0
35,1,33,32,2,1,5,114.0,570.0
36,1,34,33,9,1,5,26.0,130.0
37,1,35,34,6,1,30,452.0,13560.0
38,1,36,35,3,1,1,604.0,604.0
39,1,37,36,2,1,2,768.0,1536.0
40,1,38,2,12,1,4,591.0,2364.0
41,1,39,37,6,1,2,763.0,1526.0
42,1,40,38,10,1,2,458.0,916.0
43,1,41,1,12,1,2,368.0,736.0
44,1,42,39,1,1,3,682.0,2046.0
45,1,3,40,11,1,2,106.0,212.0
46,1,6,41,1,1,1,122.0,122.0
47,1,43,42,12,1,4,60.0,240.0
48,1,44,43,6,1,2,488.0,976.0
49,1,45,44,7,1,8,482.0,3856.0
50,1,46,45,12,1,6,391.0,2346.0
51,1,47,46,3,1,10,75.0,750.0
52,1,48,47,1,1,10,347.0,3470.0
53,1,4,48,13,1,10,99.0,990.0
54,1,49,15,5,1,8,487.0,3896.0
55,1,24,49,2,1,8,149.0,1192.0
56,1,50,50,11,1,1,778.0,778.0
57,1,51,35,13,1,20,604.0,12080.0
58,1,52,50,9,1,20,778.0,15560.0
59,1,53,51,8,1,3,424.0,1272.0
60,1,54,8,2,1,10,742.0,7420.0
61,1,55,3,8,1,100,66.0,6600.0
62,1,41,44,4,1,4,482.0,1928.0
63,1,56,52,7,1,5,722.0,3610.0
64,1,57,53,12,1,30,373.0,11190.0
65,1,5,54,3,1,10,686.0,6860.0
66,1,58,55,2,1,20,206.0,4120.0
67,1,59,12,8,1,15,249.0,3735.0
68,1,60,56,11,1,4,26.0,104.0
69,1,25,57,13,1,5,201.0,1005.0
70,1,61,4,5,1,2,435.0,870.0
71,1,35,43,4,1,6,488.0,2928.0
72,1,62,58,7,1,10,179.0,1790.0
73,1,53,59,1,1,6,682.0,4092.0
74,1,56,60,9,1,3,497.0,1491.0
75,1,25,61,3,1,10,269.0,2690.0
76,1,63,62,12,1,2,284.0,568.0
77,1,64,63,4,1,10,624.0,6240.0
78,1,65,64,11,1,4,746.0,2984.0
79,1,66,65,4,1,5,628.0,3140.0
80,1,67,66,13,1,20,137.0,2740.0
81,1,68,67,7,1,20,627.0,12540.0
82,1,7,68,12,1,35,713.0,24955.0
83,1,69,20,13,1,24,307.0,7368.0
84,1,70,68,6,1,4,713.0,2852.0
85,1,71,3,6,1,60,66.0,3960.0
86,1,44,68,10,1,5,713.0,3565.0
87,1,72,69,12,1,15,610.0,9150.0
88,1,73,70,7,1,10,794.0,7940.0
89,1,30,18,4,1,4,288.0,1152.0
90,1,74,31,3,1,2,164.0,328.0
91,1,75,71,9,1,5,659.0,3295.0
92,1,76,72,7,1,6,385.0,2310.0
93,1,77,8,2,1,5,742.0,3710.0
94,1,78,31,10,1,3,164.0,492.0
95,1,79,73,11,1,10,298.0,2980.0
96,1,80,69,10,1,10,610.0,6100.0
97,1,81,74,11,1,3,318.0,954.0
98,1,41,75,3,1,6,154.0,924.0
99,1,23,76,2,1,30,708.0,21240.0
100,1,82,77,7,1,4,121.0,484.0
101,1,4,78,6,1,5,470.0,2350.0
102,1,72,43,3,1,5,488.0,2440.0
103,1,10,79,8,1,10,647.0,6470.0
104,1,83,80,13,1,6,25.0,150.0
105,1,84,81,3,1,6,182.0,1092.0
106,1,85,82,5,1,10,130.0,1300.0
107,1,86,41,13,1,10,122.0,1220.0
108,1,87,83,2,1,8,655.0,5240.0
109,1,88,84,2,1,5,390.0,1950.0
110,1,21,45,3,1,8,391.0,3128.0
111,1,89,85,11,1,6,782.0,4692.0
112,1,90,86,7,1,6,492.0,2952.0
113,1,91,87,10,1,3,520.0,1560.0
114,1,92,88,4,1,6,767.0,4602.0
115,1,93,89,11,1,6,452.0,2712.0
116,1,94,46,6,1,12,75.0,900.0
117,1,72,90,3,1,5,613.0,3065.0
118,1,95,91,9,1,20,311.0,6220.0
119,1,35,92,10,1,5,611.0,3055.0
120,1,46,93,3,1,13,773.0,10049.0
121,1,75,8,3,1,20,742.0,14840.0
122,1,73,31,8,1,7,164.0,1148.0
123,1,94,16,13,1,5,605.0,3025.0
124,1,1,56,9,1,30,26.0,780.0
125,1,36,94,6,1,56,529.0,29624.0
126,1,96,95,7,1,1,401.0,401.0
127,1,30,23,8,1,2,215.0,430.0
128,1,97,19,7,1,5,414.0,2070.0
129,1,98,96,12,1,1,173.0,173.0
130,1,99,8,5,1,30,742.0,22260.0
131,1,100,22,1,1,1,765.0,765.0
132,1,101,65,8,1,4,628.0,2512.0
133,1,102,97,4,1,4,248.0,992.0
134,1,103,98,2,1,10,187.0,1870.0
135,1,69,15,4,1,6,487.0,2922.0
136,1,82,65,7,1,4,628.0,2512.0
137,1,90,99,5,1,15,647.0,9705.0
138,1,104,100,5,1,3,681.0,2043.0
139,1,105,12,10,1,20,249.0,4980.0
140,1,77,101,9,1,10,535.0,5350.0
141,1,91,99,12,1,30,647.0,19410.0
142,1,106,102,5,1,4,141.0,564.0
143,1,48,26,8,1,10,502.0,5020.0
144,1,29,88,11,1,4,767.0,3068.0
145,1,3,103,12,1,5,513.0,2565.0
146,1,107,89,4,1,3,452.0,1356.0
147,1,26,104,10,1,4,361.0,1444.0
148,1,69,69,5,1,24,610.0,14640.0
149,1,107,105,3,1,4,334.0,1336.0
150,1,1,91,11,1,3,311.0,933.0
151,1,35,106,9,1,6,631.0,3786.0
152,1,58,90,13,1,6,613.0,3678.0
153,1,108,76,8,1,10,708.0,7080.0
154,1,60,55,12,1,6,206.0,1236.0
155,1,106,107,7,1,3,80.0,240.0
156,1,109,8,13,1,4,742.0,2968.0
157,1,110,108,5,1,10,34.0,340.0
158,1,5,48,4,1,10,99.0,990.0
159,1,111,109,10,1,5,400.0,2000.0
160,1,112,110,13,1,6,140.0,840.0
161,1,113,111,3,1,5,113.0,565.0
162,1,114,112,8,1,11,408.0,4488.0
163,1,91,113,2,1,5,319.0,1595.0
164,1,110,103,3,1,10,513.0,5130.0
165,1,81,114,8,1,6,345.0,2070.0
166,1,34,115,3,1,6,375.0,2250.0
167,1,9,111,6,1,6,113.0,678.0
168,1,46,104,8,1,2,361.0,722.0
169,1,9,116,11,1,3,612.0,1836.0
170,1,115,117,5,1,3,590.0,1770.0
171,1,116,95,7,1,1,401.0,401.0
172,1,30,118,10,1,5,445.0,2225.0
173,1,117,95,7,1,20,401.0,8020.0
174,1,109,83,10,1,10,655.0,6550.0
175,1,118,119,4,1,6,301.0,1806.0
176,1,2,120,11,1,4,73.0,292.0
177,1,119,121,4,1,10,343.0,3430.0
178,1,120,122,9,1,10,35.0,350.0
179,1,117,123,4,1,6,664.0,3984.0
180,1,58,124,6,1,2,420.0,840.0
181,1,86,125,7,1,1,420.0,420.0
182,1,15,70,10,1,5,794.0,3970.0
183,1,121,92,6,1,4,611.0,2444.0
184,1,122,121,1,1,2,343.0,686.0
185,1,9,30,11,1,2,692.0,1384.0
186,1,28,36,5,1,6,768.0,4608.0
187,1,77,126,6,1,100,180.0,18000.0
188,1,78,127,2,1,10,742.0,7420.0
189,1,123,12,13,1,1,249.0,249.0
190,1,50,51,8,1,250,424.0,106000.0
191,1,35,84,12,1,10,390.0,3900.0
192,1,124,105,3,1,5,334.0,1670.0
193,1,125,128,2,1,5,416.0,2080.0
194,1,42,102,5,1,100,141.0,14100.0
195,1,10,11,13,1,2,762.0,1524.0
196,1,47,52,3,1,17,722.0,12274.0
197,1,106,129,2,1,2,377.0,754.0
198,1,58,38,10,1,1,458.0,458.0
199,1,126,124,13,1,1,420.0,420.0
200,1,42,130,1,1,6,785.0,4710.0
201,1,127,131,10,1,3,780.0,2340.0
202,1,22,121,2,1,10,343.0,3430.0
203,1,88,132,12,1,3,172.0,516.0
204,1,128,27,3,1,2,511.0,1022.0
205,1,126,133,1,1,20,458.0,9160.0
206,1,80,134,1,1,5,438.0,2190.0
207,1,129,135,5,1,10,24.0,240.0
208,1,130,120,2,1,2,73.0,146.0
